nx,ny,nz,frecuencia,tipo
3,8,0,265.4945701959093,tangencial
4,0,3,265.61899963968204,tangencial
6,2,1,266.1813184535403,oblicuo
2,5,3,266.593373000124,oblicuo
1,9,0,266.68068213263547,tangencial
4,1,3,267.22642854186614,oblicuo
3,4,3,268.4573429723297,oblicuo
0,6,3,271.16215460740653,tangencial
0,8,2,271.64692557324923,tangencial
4,2,3,271.991723286221,oblicuo
0,9,1,272.252157477163,tangencial
5,6,0,272.6976252463716,tangencial
4,7,1,273.07841492114875,oblicuo
6,3,1,274.107734297928,oblicuo
3,8,1,274.2830683443093,oblicuo
1,6,3,274.3539645056132,oblicuo
1,8,2,274.8331055786668,oblicuo
1,9,1,275.4313362701967,oblicuo
0,0,4,275.50200803212846,axial
5,4,2,276.05997734066835,oblicuo
2,9,0,276.30080975012794,tangencial
6,4,0,276.3816079565986,tangencial
3,7,2,276.79421740005495,oblicuo
0,1,4,277.05210262943444,tangencial
1,0,4,278.6441102523992,tangencial
4,6,2,278.6910120274752,oblicuo
4,3,3,279.7535580550973,oblicuo
1,1,4,280.176821525277,oblicuo
5,6,1,281.2611412759839,oblicuo
0,2,4,281.65120450010113,tangencial
3,5,3,282.4498986911915,oblicuo
2,6,3,283.71402694578904,oblicuo
2,8,2,284.17738679892045,oblicuo
1,2,4,284.72545503515136,oblicuo
2,9,1,284.7559871985747,oblicuo
6,4,1,284.8343869576379,oblicuo
6,0,2,285.75855902775254,tangencial
6,1,2,287.253311903054,oblicuo
4,8,0,287.5337424439506,tangencial
2,0,4,287.8647102793252,tangencial
0,3,4,289.15386337491026,tangencial
2,1,4,289.34858314126154,oblicuo
5,5,2,289.6855387557888,oblicuo
6,5,0,289.9920576353364,tangencial
4,4,3,290.27165076196565,oblicuo
0,7,3,290.9700309874801,tangencial
3,9,0,291.62999881983586,tangencial
6,2,2,291.69161562211616,oblicuo
7,0,0,292.0924574209246,axial
1,3,4,292.14917500012297,oblicuo
5,7,0,292.40150419677155,tangencial
0,10,0,292.6621160409556,axial
7,1,0,293.5549604824458,tangencial
5,0,3,293.6394161333443,tangencial
2,2,4,293.7552314271571,oblicuo
1,7,3,293.94683648828635,oblicuo
5,1,3,295.09425248348543,oblicuo
1,10,0,295.62188334794496,tangencial
4,8,1,295.6678674132219,oblicuo
0,9,2,297.24189069097457,tangencial
7,2,0,297.8993928305619,tangencial
4,7,2,297.9988674918454,oblicuo
6,5,1,298.05910197213353,oblicuo
3,6,3,298.6629669525115,oblicuo
6,3,2,298.94239299992034,oblicuo
3,8,2,299.1031693428613,oblicuo
0,4,4,299.341835860319,tangencial
5,2,3,299.4163510460879,oblicuo
3,9,1,299.652950909074,oblicuo
