nx,ny,nz,frecuencia,tipo
2,5,1,188.3996276230711,oblicuo
2,5,2,222.99310307515603,oblicuo
2,5,3,271.00756060187575,oblicuo
2,6,0,203.01812449930765,tangencial
2,6,1,214.38328678344965,oblicuo
2,6,2,245.33996409604805,oblicuo
2,6,3,289.6737334777565,oblicuo
2,7,0,231.48434252051354,tangencial
2,7,1,241.51363441638833,oblicuo
2,7,2,269.37026550751324,oblicuo
2,8,0,260.49282290010905,tangencial
2,8,1,269.4445129508597,oblicuo
2,8,2,294.67244508080717,oblicuo
2,9,0,289.880818141104,tangencial
2,9,1,297.95087431154525,oblicuo
3,0,0,125.18248175182482,axial
3,0,1,142.87927951387627,tangencial
3,0,2,186.13434085353433,tangencial
3,0,3,241.58883817194842,tangencial
3,1,0,128.92667580541078,tangencial
3,1,1,146.1708675184352,oblicuo
3,1,2,188.67280366196724,oblicuo
3,1,3,243.54999635795403,oblicuo
3,2,0,139.55783648472098,tangencial
3,2,1,155.62848229406646,oblicuo
3,2,2,196.09112379638674,oblicuo
3,2,3,249.3409367031857,oblicuo
3,3,0,155.6713194770759,tangencial
3,3,1,170.22747864135295,oblicuo
3,3,2,207.86750302817316,oblicuo
3,3,3,258.7046050990584,oblicuo
3,4,0,175.76574661903447,tangencial
3,4,1,188.77879240371536,oblicuo
3,4,2,223.313539204367,oblicuo
3,4,3,271.27128612566526,oblicuo
3,5,0,198.63661207021858,tangencial
3,5,1,210.23876529220996,oblicuo
3,5,2,241.72679363729677,oblicuo
3,5,3,286.61998647418227,oblicuo
3,6,0,223.43293763072953,tangencial
3,6,1,233.8078535788649,oblicuo
3,6,2,262.483555152949,oblicuo
3,7,0,249.5814888473012,tangencial
3,7,1,258.91070729518697,oblicuo
3,7,2,285.0723744642214,oblicuo
3,8,0,276.6991679162564,tangencial
3,8,1,285.1425333099345,oblicuo
4,0,0,166.90997566909974,axial
4,0,1,180.562384661695,tangencial
4,0,2,216.4122895893235,tangencial
4,0,3,265.61899963968204,tangencial
4,1,0,169.73618934849165,tangencial
4,1,1,183.17807934194923,oblicuo
4,1,2,218.59943522795467,oblicuo
4,1,3,267.40397709509284,oblicuo
4,2,0,177.9457107227079,tangencial
4,2,1,190.8101431828719,oblicuo
4,2,2,225.03336435302964,oblicuo
4,2,3,272.68881340519926,oblicuo
4,3,0,190.84508363604064,tangencial
4,3,1,202.89327422294159,oblicuo
4,3,2,235.3660660662048,oblicuo
4,3,3,281.2763035518159,oblicuo
4,4,0,207.56175930276785,tangencial
4,4,1,218.6909204830383,oblicuo
4,4,2,249.11287207266886,oblicuo
4,4,3,292.8760777472036,oblicuo
4,5,0,227.25490070633907,tangencial
4,5,1,237.46289114703052,oblicuo
4,5,2,265.74448066231173,oblicuo
4,6,0,249.2199106383978,tangencial
4,6,1,258.56217556995733,oblicuo
4,6,2,284.75586555160675,oblicuo
4,7,0,272.9087866221039,tangencial
4,7,1,281.4658782026828,oblicuo
4,8,0,297.9105835076394,tangencial
5,0,0,208.63746958637466,axial
5,0,1,219.71214916855158,tangencial
5,0,2,250.00986545102407,tangencial
5,0,3,293.6394161333443,tangencial
5,1,0,210.90525766820738,tangencial
5,1,1,221.86676742800262,oblicuo
5,1,2,251.9054719920286,oblicuo
5,1,3,295.25504348582916,oblicuo
5,2,0,217.56683961981793,tangencial
5,2,1,228.20859860884738,oblicuo
5,2,2,257.50858006984805,oblicuo
5,3,0,228.2378138819098,tangencial
5,3,1,238.4037215784429,oblicuo
5,3,2,266.58551872340524,oblicuo
5,4,0,242.38922761213232,tangencial
5,4,1,251.98486549645105,oblicuo
5,4,2,278.79719648848663,oblicuo
5,5,0,259.4521991284598,tangencial
5,5,1,268.4385933681154,oblicuo
5,5,2,293.7529280535391,oblicuo
5,6,0,278.89284249718014,tangencial
5,6,1,287.2717396003571,oblicuo
6,0,0,250.36496350364965,axial
6,0,1,259.66603498925735,tangencial
6,0,2,285.75855902775254,tangencial
6,1,0,252.2579016539846,tangencial
6,1,1,261.4916513461372,oblicuo
6,1,2,287.4184894092673,oblicuo
6,2,0,257.85335161082156,tangencial
6,2,1,266.8935849993259,oblicuo
6,2,2,292.3417350368704,oblicuo
6,3,0,266.91856608406187,tangencial
6,3,1,275.66166889364604,oblicuo
6,4,0,279.11567296944196,tangencial
6,4,1,287.4880757075725,oblicuo
6,5,0,294.0552071760886,tangencial
7,0,0,292.0924574209246,axial
7,1,0,293.71659414967036,tangencial
7,2,0,298.5359939252632,tangencial
